,req_words,title_words,tags_words,longtext_words,fault_words
aa,2,0,0,0,3096
aac,0,0,0,0,348
ab,0,0,0,0,3366
abc,2,0,0,0,370
ability,104,0,0,0,498
able,130,26,0,2870,1432
ac,0,0,0,0,3462
acc,2,0,0,2870,256
accept,80,0,0,0,1490
accepted,16,0,0,0,248
access,212,28,0,2870,2494
according,16,0,0,0,546
account,106,2,0,0,1188
acl,20,0,0,0,254
across,30,6,0,0,280
action,186,8,0,0,3612
actions,136,0,0,0,1710
active,116,10,0,0,2898
actual,36,0,0,0,3140
actually,30,2,0,0,930
ad,8,2,0,0,2928
adapter,10,6,0,0,446
add,1794,44,0,0,6928
added,130,0,0,0,2270
adding,142,36,0,0,846
addition,30,0,0,0,266
additional,86,0,0,0,1234
addr,10,0,0,0,726
address,232,36,0,0,4436
addresses,48,0,0,0,694
adds,22,0,0,0,434
admin,388,46,0,2870,8174
adminurl,0,0,0,0,314
ae,4,0,0,0,3106
af,8,0,0,0,3084
afd,4,0,0,0,416
aff,0,0,0,0,404
affected,4,0,0,0,400
affects,4,0,0,0,298
agent,702,12,0,0,13150
agents,72,0,0,0,754
aggregate,40,0,0,0,290
ahbmhk,0,0,0,0,250
alarm,118,14,0,0,1192
alembic,18,0,0,0,482
alive,10,4,0,0,532
allocate,20,4,0,0,428
allocated,30,0,0,0,328
allocation,62,0,0,0,390
allow,410,4,0,0,1944
allowed,82,0,0,0,996
allows,58,0,0,0,540
already,120,8,0,0,1964
also,42,8,0,2870,3672
although,10,0,0,0,284
always,124,0,0,0,1188
amd,4,0,0,0,574
ami,2,4,0,0,266
amount,24,0,0,0,246
amphora,30,0,0,0,244
amqp,28,4,0,0,882
amqpdriver,0,0,0,0,704
anon,0,0,0,0,1030
another,58,4,0,0,1256
ansible,76,18,10,0,1692
anything,14,4,0,0,314
aodh,52,0,0,0,832
apache,90,12,6,0,1444
api,1532,252,20,11480,28338
app,80,18,0,0,2326
appear,42,0,0,0,454
appears,36,0,0,0,676
application,42,4,0,0,3944
applied,36,0,0,0,360
apply,50,6,0,0,1284
approach,4,0,0,0,274
appropriate,26,0,0,0,418
apr,0,0,0,0,312
apt,48,0,2,0,922
architecture,34,10,2,0,460
archive,22,0,0,0,530
arg,14,0,0,0,332
args,44,0,0,0,7982
argument,126,4,0,0,928
arguments,82,4,2,0,882
argv,0,0,0,0,300
around,14,0,0,0,470
array,28,8,0,0,370
artifact,18,0,0,0,234
artifacts,34,0,0,0,244
ascii,36,0,0,0,270
ask,10,0,0,0,676
assert,10,0,0,0,398
assertequal,36,0,0,0,308
assertionerror,6,0,0,0,376
assertthat,0,0,0,0,334
assign,44,22,0,0,392
assigned,54,18,0,0,468
associate,20,0,0,0,282
associated,54,2,0,0,528
assume,6,0,0,0,310
astute,154,0,0,0,2584
async,18,0,0,0,248
atomic,32,0,0,0,234
attach,102,16,0,2870,1346
attached,86,10,0,0,1428
attachment,20,0,0,0,316
attachments,10,0,0,0,298
attempt,16,0,0,0,598
attempting,16,0,0,0,446
attempts,26,6,0,0,424
attr,16,0,0,0,1182
attribute,218,8,0,0,1568
attributeerror,78,0,0,0,550
attributes,110,0,0,0,898
audit,44,0,0,0,718
aug,0,0,0,0,1108
auth,260,18,0,0,7768
authenticate,28,8,0,0,410
authentication,122,44,10,0,826
author,2,0,0,0,1418
authored,0,0,0,0,284
authorization,24,0,0,0,270
auto,54,8,0,0,772
automatically,62,8,0,0,434
availability,94,10,8,0,946
available,254,28,0,0,2914
average,0,0,0,0,248
avoid,36,0,0,0,440
awk,2,0,4,0,306
aws,32,10,0,0,360
az,34,0,0,0,432
ba,0,0,0,0,3028
back,76,18,0,0,1104
backend,214,0,0,0,2316
backends,32,0,0,0,468
backup,250,0,0,0,1988
backups,29,0,0,0,370
bad,110,2,0,0,1206
badrequest,8,2,0,0,236
bae,0,0,0,0,240
balancer,26,12,0,0,328
bar,38,0,0,0,294
barbican,94,0,0,0,1584
barbicanclient,6,0,0,0,578
bare,10,10,0,2870,498
baremetal,84,4,0,0,934
base,86,6,0,0,5826
based,154,20,0,0,1120
bash,32,12,8,0,586
basic,44,6,0,2870,338
bay,78,0,0,0,620
bb,0,0,0,0,3536
bbb,0,0,0,0,388
bbc,0,0,0,0,298
bc,4,0,0,0,2970
bcd,0,0,0,0,252
bd,2,0,0,0,3032
beb,0,0,0,0,248
become,20,0,0,0,322
bef,0,0,0,0,292
begin,0,8,0,0,272
behavior,60,0,0,0,1016
behaviour,22,0,0,0,388
believe,0,2,0,0,276
benchmark,4,0,0,0,458
better,62,2,0,0,854
bf,2,0,0,0,2778
bfb,0,0,0,0,238
big,26,4,0,0,432
bin,56,6,0,0,4638
binary,26,4,0,0,370
bind,40,2,0,0,700
binding,88,2,0,0,1284
bit,4,0,0,0,460
blob,4,0,0,0,3530
block,152,4,0,0,2474
blueprint,6,0,0,0,490
blueprints,2,0,0,0,246
body,66,0,0,0,3132
bond,66,0,0,0,446
boot,272,42,0,2870,2290
bootable,26,0,0,0,400
booting,52,0,0,0,300
bootstrap,168,0,0,0,1388
bound,16,2,0,0,248
box,44,0,0,0,242
br,22,6,0,0,1588
branch,122,4,0,0,994
brd,0,0,0,0,236
break,36,0,0,0,334
breaks,186,0,0,0,280
brick,10,0,0,0,290
bridge,90,14,0,0,1102
broadcast,2,0,0,0,444
broken,402,0,0,0,632
browser,22,0,0,0,284
bug,106,2,0,0,8356
bugs,22,0,0,0,2408
build,332,2,0,2870,5920
builder,102,6,0,0,1052
building,70,0,0,0,440
built,28,2,0,0,436
bulk,28,0,0,0,288
bundled,0,0,0,0,494
bundler,0,0,0,0,830
bus,6,0,0,0,362
button,114,2,0,0,698
bvt,80,0,0,0,566
byte,22,0,0,0,284
bytes,32,0,0,0,1748
ca,32,0,0,0,3310
cacert,10,2,0,0,320
cache,140,4,0,0,1786
cached,32,0,0,0,238
call,108,10,0,0,9176
callback,26,0,0,0,668
called,28,0,0,0,770
calling,24,2,0,0,386
calls,108,12,0,0,738
cannot,604,40,0,0,2190
capabilities,30,0,0,0,600
capability,34,0,0,0,242
capacity,24,2,0,0,278
capture,6,2,0,0,642
captured,4,0,0,0,394
case,196,0,0,0,3158
cases,80,2,0,0,990
cat,2,10,0,0,1070
catalog,76,2,0,0,1124
catch,30,0,0,0,388
cause,96,0,0,0,1468
caused,22,0,0,0,434
causes,166,0,0,0,630
causing,68,0,0,0,314
cb,0,0,0,0,3182
cc,4,0,0,0,3144
ccp,18,0,0,0,414
cd,6,0,0,0,2896
ce,0,0,0,0,3476
ceilometer,204,48,18,0,2976
ceilometerclient,10,0,0,0,294
cell,46,8,0,0,414
cells,52,2,0,0,314
centos,240,42,20,0,3038
ceph,412,6,12,0,4724
cert,38,4,0,0,758
certain,42,4,0,0,324
certificate,62,12,0,0,708
certificates,30,0,0,0,252
cf,6,0,0,0,2728
cfa,0,0,0,0,246
cfg,24,2,0,0,1300
cfn,30,0,0,0,292
cgit,4,0,0,0,506
chain,52,0,0,0,452
change,324,20,0,0,4870
changed,128,0,0,0,1662
changes,222,2,0,0,2280
changing,68,10,0,0,794
channel,14,0,0,0,316
character,24,0,0,0,234
characters,58,0,0,0,324
charset,2,0,0,0,466
chassis,26,0,0,0,306
check,606,18,0,0,7518
checked,24,0,0,0,380
checker,44,0,0,0,606
checking,60,0,0,0,594
checks,140,0,0,0,886
checksum,24,0,0,0,400
child,8,2,0,0,384
choose,18,4,0,0,376
chunk,8,0,0,0,280
ci,372,0,0,2870,2498
cidr,38,0,0,0,484
cinder,566,106,84,14350,10952
cinderclient,14,0,0,0,536
cirros,32,8,0,0,1226
cisco,132,0,0,0,2312
class,118,12,0,0,2554
classes,28,0,0,0,364
clean,146,0,0,0,738
cleaning,58,0,0,0,384
cleanup,144,0,0,0,884
clear,32,0,0,0,472
cli,408,2,0,0,2548
click,16,0,0,0,876
client,536,58,0,0,10570
clients,50,0,0,0,472
cliff,14,0,0,0,640
climate,54,0,0,0,564
clone,44,6,0,0,936
close,22,4,0,0,608
closes,6,0,0,0,582
cloud,96,92,78,0,2376
cls,2,0,0,0,564
cluster,572,32,0,0,6210
clusters,42,0,0,0,450
cmd,28,0,0,0,2270
co,0,0,0,2870,386
cobbler,54,0,0,0,440
code,406,18,0,0,6042
collect,34,0,0,0,596
collector,46,0,0,0,726
column,74,6,0,0,1056
columns,22,0,0,0,294
com,30,6,0,5740,9702
command,510,62,0,11480,6370
commands,170,22,0,0,1382
comment,20,0,0,0,524
comments,34,0,0,0,236
commit,38,0,0,0,3502
common,166,10,0,0,10370
community,40,0,0,0,486
compat,4,0,0,0,286
compatible,94,6,0,0,304
complete,72,4,0,0,1256
completed,12,0,0,0,452
completely,20,0,0,0,298
component,30,0,0,0,334
components,52,16,0,2870,628
compute,364,108,0,5740,14164
computes,24,2,0,0,306
concurrency,28,0,0,0,784
condition,74,8,0,0,404
conductor,84,0,0,0,1282
conf,326,6,2,0,5804
config,704,14,0,0,9202
configs,32,0,0,0,304
configuration,482,14,4,0,3124
configure,158,14,0,0,1734
configured,122,4,0,0,1214
configuring,26,4,0,0,296
confirm,26,0,0,0,246
conflict,78,0,0,0,338
congress,8,0,0,0,1580
conn,0,0,0,0,478
connect,114,22,2,0,1412
connected,26,2,0,2870,360
connecting,16,4,0,0,328
connection,232,48,0,0,5184
connectionpool,2,0,0,0,654
connections,38,0,0,0,862
connectivity,82,0,0,0,418
consider,38,0,0,0,358
consistency,30,0,0,0,252
consistent,62,0,0,0,298
console,100,14,0,0,1960
constraint,18,4,0,0,308
constraints,44,0,0,0,344
contain,100,0,0,0,606
container,344,30,0,2870,4972
containers,72,2,0,0,840
contains,98,0,0,0,896
content,74,0,0,0,3788
contents,12,0,0,0,280
context,70,2,0,0,4996
continue,6,0,0,0,354
contrail,26,0,0,0,242
contrib,6,0,0,2870,400
control,38,0,0,0,744
controller,262,36,2,0,5944
controllers,80,0,0,0,1350
convert,32,2,0,0,240
cookie,16,0,0,0,340
copy,96,14,0,2870,898
copying,6,0,0,0,346
core,56,0,2,0,1316
corosync,36,0,0,0,294
correct,94,18,0,0,1076
correctly,146,4,0,0,616
corresponding,12,2,0,0,318
could,188,38,0,5740,3990
count,82,4,0,0,1192
cover,50,0,0,0,268
coverage,94,0,0,0,260
cp,8,0,0,0,362
cpu,84,8,2,2870,1518
create,1506,202,0,11480,17126
created,290,14,0,0,5386
creates,52,4,0,0,610
creating,314,62,0,0,1740
creation,334,34,0,0,1238
credentials,62,10,2,0,734
creds,4,0,0,0,286
critical,14,0,0,0,608
cs,2,0,0,0,294
csv,22,0,0,0,250
ct,0,0,0,0,274
ctxt,0,0,0,0,790
curl,12,10,0,0,1478
current,110,0,0,0,2376
currently,14,2,0,0,2710
custom,202,28,0,0,1236
da,0,4,0,0,2802
daemon,40,0,0,0,556
dashboard,314,112,4,2870,3312
dashboards,16,0,0,0,434
data,440,52,2,0,8014
database,204,30,4,0,2164
databases,28,0,0,0,250
datasource,16,0,0,0,454
datasources,4,0,0,0,356
datastore,54,4,0,0,544
date,60,0,0,0,2674
datetime,12,0,0,0,366
db,474,4,0,0,10448
dc,0,0,0,0,2784
dd,8,0,0,0,2484
dde,0,0,0,0,264
ddf,0,0,0,0,238
de,0,0,0,0,2280
dea,0,0,0,0,250
dear,0,0,0,0,814
deb,40,4,2,0,698
debian,82,0,4,0,552
debug,126,8,0,0,9192
dec,0,0,0,0,1694
decode,12,0,0,0,326
decorated,2,0,0,0,312
decorators,4,0,0,0,684
ded,0,0,0,0,256
def,12,0,0,0,896
default,650,16,0,0,8594
defaults,64,0,0,0,644
define,34,6,0,0,322
defined,74,0,0,0,910
definition,84,0,0,0,596
definitions,22,2,0,0,284
delay,24,0,0,0,266
delete,742,26,0,5740,6352
deleted,294,4,0,0,2530
deleting,152,6,0,0,704
deletion,140,0,0,0,394
demo,18,0,0,2870,1100
denied,52,2,0,0,518
dependencies,90,4,0,0,496
dependency,80,12,0,0,688
depends,26,0,0,0,368
deploy,460,8,0,0,6042
deployed,106,12,0,0,834
deploying,56,0,0,0,452
deployment,894,8,0,2870,5214
deployments,26,0,0,0,304
deprecated,236,0,0,0,1448
described,10,0,0,0,240
description,130,0,0,0,4796
designate,94,4,0,0,998
dest,8,0,0,0,372
destination,22,0,0,0,612
destroy,32,0,0,0,326
detach,106,6,0,0,594
detail,56,2,0,0,748
detailed,28,0,0,0,1326
details,104,2,0,2870,2120
detect,36,4,0,0,238
detected,26,0,0,0,238
determine,24,0,0,2870,366
dev,78,0,0,0,4478
developer,36,0,0,0,1436
development,24,0,0,0,246
device,236,2,2,0,4294
devices,66,8,0,0,684
devops,176,0,2,0,900
devstack,630,216,122,5740,6410
df,18,0,0,0,2764
dfa,0,0,0,0,262
dfc,2,0,0,0,268
dhcp,260,12,2,0,2696
diagnostic,50,0,0,0,234
dib,26,0,0,0,340
dict,66,0,0,0,860
die,6,4,0,0,392
diff,12,0,0,0,274
different,198,22,0,2870,1844
dir,106,0,0,0,1672
direct,46,0,0,0,450
directly,26,16,0,2870,962
directory,162,4,0,0,1704
disable,122,0,0,0,1076
disabled,118,2,0,0,864
discover,10,0,0,0,630
discovered,14,0,0,0,236
discovery,30,0,0,0,298
discussion,6,0,0,0,242
disk,248,16,0,0,4006
diskimage,12,2,2,0,366
disks,56,0,0,0,456
dispatch,0,0,0,0,1894
dispatcher,14,2,0,0,7240
display,128,24,0,0,820
displayed,62,0,0,0,382
dist,4,0,0,0,13950
distributed,38,0,0,0,400
distribution,14,0,0,0,240
django,28,10,34,0,1986
dns,112,0,0,0,1286
dnsmasq,32,0,0,0,434
doc,230,2,0,0,864
docimpact,4,0,0,0,2264
docker,184,70,28,0,2584
docs,402,0,0,0,3124
document,160,0,0,0,512
documentation,296,0,0,0,1428
domain,248,0,0,0,5732
domains,14,4,0,0,266
done,24,2,0,0,1602
download,104,12,0,0,1100
downloading,16,8,0,0,294
dpdk,120,0,0,0,780
dpkg,14,0,0,0,442
dragonflow,8,0,0,0,632
drive,30,4,0,0,574
driver,1012,24,0,0,7414
drivers,146,12,0,0,5512
drop,34,0,0,0,442
dropped,16,0,0,0,428
ds,8,0,0,0,264
dsvm,138,0,0,0,1460
due,468,12,0,0,1490
dump,28,0,0,0,314
duplicate,158,4,0,0,488
duration,4,0,0,0,354
dvr,92,0,0,0,438
dvs,44,0,0,0,234
dynamic,62,0,0,0,460
ea,4,0,0,0,2880
early,14,0,0,0,240
easily,6,0,0,0,242
easy,10,0,0,0,244
eb,2,0,0,0,2486
ec,72,4,2,0,4168
ecf,0,0,0,0,306
echo,6,0,0,0,1198
ed,6,0,0,0,2832
edf,0,0,0,0,266
edit,58,4,0,0,528
ee,2,0,0,0,2514
ef,2,0,0,0,2678
eff,0,0,0,0,326
eg,2,0,0,0,240
egg,2,0,0,0,876
either,12,0,0,0,988
el,6,0,0,0,1930
elasticsearch,42,0,0,0,566
element,42,2,0,0,452
elements,50,0,0,0,788
else,10,0,0,0,504
email,28,0,0,0,392
empty,160,6,0,0,1118
en,4,0,0,0,680
enable,200,2,0,2870,2196
enabled,292,10,0,0,3084
encoding,10,0,0,0,332
encrypted,48,0,0,0,278
encryption,34,0,0,0,394
end,100,12,0,0,2054
endpoint,150,0,0,0,2166
endpoints,70,8,0,0,840
enforce,30,0,0,0,262
engine,78,6,0,0,5642
engines,0,0,0,0,282
enough,42,10,0,0,552
ensure,44,0,0,0,1188
enter,10,0,0,0,404
entity,24,0,0,0,248
entries,22,0,0,0,278
entry,40,0,0,0,828
entrypoint,4,2,0,0,604
env,172,0,0,0,3138
environ,0,4,0,0,490
environment,300,4,0,0,5342
environments,46,0,0,0,690
ephemeral,56,0,0,0,386
equal,14,0,0,0,234
err,22,0,0,0,2606
errno,20,24,0,0,774
error,2098,272,0,8610,42270
errors,286,18,0,0,2138
esc,4,0,0,0,250
establish,4,2,0,0,324
etag,8,0,0,0,242
etc,150,14,0,2870,6446
etcd,26,0,0,0,268
eth,22,0,0,0,1058
ethernet,10,4,0,0,266
evaluate,12,0,0,0,574
even,200,0,0,0,1456
event,110,0,0,0,1658
eventlet,32,0,0,0,1378
events,76,0,0,0,672
every,28,2,0,2870,796
everything,8,2,0,0,348
ex,6,4,0,0,564
example,70,8,0,5740,3482
examples,20,2,0,0,492
exc,10,0,0,0,2230
exceeded,20,0,0,0,336
except,16,0,0,0,510
exception,330,18,0,0,4434
exceptions,84,2,0,0,1372
excutils,2,0,0,0,990
exec,20,0,0,0,1536
execute,74,6,0,0,3790
executed,50,0,0,0,476
executing,32,6,0,0,918
execution,98,2,0,0,870
executor,2,0,0,0,526
exist,110,4,0,0,1170
existing,148,10,0,0,1320
exists,100,6,0,0,1058
exit,74,2,0,0,4006
exited,10,0,0,0,322
expect,8,0,0,0,428
expected,84,14,0,0,4182
experimental,20,0,0,0,348
explicitly,18,4,0,0,284
export,24,0,0,0,1054
expression,16,0,0,0,244
ext,28,2,0,0,1658
extend,54,6,0,2870,244
extended,14,0,0,0,336
extension,154,6,0,0,1954
extensions,44,0,0,0,2374
external,170,32,0,0,2102
extra,112,2,0,2870,1456
fa,10,0,0,0,3710
fact,18,0,0,2870,500
facts,10,0,0,0,234
fail,598,14,0,0,3034
failed,1418,104,0,0,9376
failing,280,0,0,0,656
fails,1896,38,0,0,2820
failure,364,8,0,0,2646
failures,146,0,0,0,616
fake,44,0,0,0,370
FALSE,152,0,0,0,5066
fatal,26,0,0,0,358
fault,12,0,0,0,500
fb,2,2,0,0,2596
fbb,0,0,0,0,332
fc,22,0,0,0,3222
fd,6,0,0,0,4236
fe,0,0,0,0,3412
feature,110,0,0,0,1650
features,26,0,0,0,378
feb,0,0,0,0,426
fedora,54,0,2,2870,528
fetch,24,10,0,0,486
ff,2,0,0,0,3982
ffc,0,0,0,0,374
ffff,0,0,0,0,288
ffffffff,0,0,0,0,394
field,198,16,0,0,2334
fields,100,12,0,0,702
file,628,52,0,0,52784
filename,8,0,0,0,284
files,268,6,0,2870,3006
