,req_words,title_words,tags_words,longtext_words,fault_words
port,728,56,0,0,8980
ports,188,2,0,0,1778
position,12,0,0,0,248
positional,12,0,0,0,250
possible,100,32,0,0,1696
post,108,2,0,0,2668
postgresql,54,0,2,0,312
power,70,0,0,0,974
pp,54,0,0,2870,1426
pre,88,2,0,0,746
preferred,2,0,0,0,276
prefix,48,0,0,0,1004
prepare,20,0,0,0,758
present,66,0,0,0,1006
prevent,46,2,0,0,396
previous,38,10,0,0,432
previously,6,6,0,0,246
primary,66,0,0,0,724
print,22,0,0,0,852
priority,20,0,0,0,802
private,74,10,0,0,1274
probably,4,0,0,0,790
problem,100,0,0,0,2380
problems,40,12,0,0,516
proboscis,0,0,0,0,388
proc,8,0,0,0,300
process,178,4,0,0,3666
processes,64,4,0,0,418
processing,38,0,0,0,548
processutils,0,0,0,0,308
product,16,0,0,0,866
production,20,2,0,0,924
profile,46,0,0,0,868
progress,108,0,0,0,1224
project,406,8,0,2870,7484
projects,98,6,0,0,1740
proper,28,2,0,0,384
properly,178,8,0,0,780
properties,102,10,0,0,1852
property,130,0,0,0,1688
proposed,10,0,0,0,510
protected,16,0,0,0,306
protocol,82,0,0,0,1006
provide,194,14,0,0,1138
provided,68,0,0,2870,820
provider,148,20,0,0,2298
providers,38,0,0,0,234
provides,14,0,0,0,350
provision,98,0,0,0,854
provisioning,132,0,0,0,1044
proxy,184,24,6,0,2876
ps,2,0,0,0,286
public,174,8,0,2870,2518
publicurl,8,4,0,0,392
published,10,0,0,0,338
pull,34,0,0,0,258
puppet,420,31,32,0,8040
puppetlabs,14,0,0,0,356
put,64,0,0,0,2252
pxe,62,0,0,0,578
pycadf,10,0,0,0,412
pymysql,6,0,0,0,806
pypi,34,0,0,0,374
python,640,130,120,0,44638
pythonlogging,0,0,0,0,246
qa,164,0,0,0,1226
qcow,18,12,0,0,628
qemu,44,6,2,0,704
qos,106,0,0,0,510
query,70,6,0,0,1732
queue,60,8,0,0,952
queues,32,0,0,0,472
quickstart,50,0,0,0,454
quite,2,0,0,0,246
quota,200,12,0,2870,1334
quotas,44,4,0,2870,484
rabbit,92,2,0,0,1452
rabbitmq,228,14,4,2870,2312
race,116,0,0,0,348
rados,10,0,0,0,296
radosgw,52,0,0,0,352
raise,90,0,0,0,3390
raised,26,4,0,0,400
rally,96,4,0,2870,2396
ram,30,4,0,0,678
ramdisk,26,4,0,0,448
ran,10,6,0,0,314
random,40,0,0,0,292
range,80,0,0,0,1228
ranges,20,0,0,0,258
rate,24,0,0,0,244
rather,32,0,0,0,422
raw,28,0,0,0,940
rb,14,0,0,0,4516
rbd,96,0,0,0,986
rc,24,0,0,0,664
rdo,14,14,10,0,302
read,78,4,0,0,2042
reading,14,0,0,0,472
ready,36,0,0,0,990
real,18,0,0,0,480
really,6,0,0,0,594
reason,34,0,0,0,1586
reboot,116,22,0,0,652
rebuild,38,0,0,0,274
received,24,0,0,0,592
recent,20,0,0,0,4890
recently,0,0,0,2870,242
record,44,0,0,0,532
records,12,0,0,0,354
reddwarf,4,0,0,0,246
redhat,14,2,8,0,504
redis,42,0,0,0,272
ref,136,0,0,0,1232
refer,8,0,0,0,356
reference,128,2,0,0,1190
references,34,0,0,0,310
refresh,36,0,0,0,602
refs,6,0,0,0,278
region,72,0,0,0,1790
regionone,4,2,0,0,1096
register,40,4,0,0,436
registered,24,0,0,0,348
registry,62,0,0,0,1116
rel,0,0,0,0,676
related,124,0,0,2870,1736
release,206,18,0,0,3602
released,10,0,0,0,238
releases,34,0,0,0,582
relevant,8,0,0,0,262
remote,102,10,0,0,1760
removal,44,0,0,0,248
remove,594,4,0,0,2210
removed,136,0,0,0,1440
removing,46,0,0,0,388
render,8,0,0,0,874
replace,168,0,0,0,604
replaced,22,0,0,0,298
replicate,10,2,0,0,308
replication,74,0,0,0,812
replicator,46,0,0,0,592
reply,10,4,0,0,912
repo,138,0,0,0,1552
report,128,0,0,0,1798
reported,26,0,0,0,406
reports,104,0,0,0,438
repos,54,0,0,0,990
repositories,66,0,0,0,544
repository,96,0,0,0,688
reproduce,2,0,0,0,3868
reproduced,0,0,0,0,290
reproducibility,0,0,0,0,658
req,2,8,0,0,7916
request,286,24,0,2870,11354
requested,24,0,0,0,614
requests,82,6,0,0,1724
require,52,4,0,0,640
required,166,12,0,2870,2002
requirement,56,0,0,0,530
requirements,152,14,10,0,1798
requires,132,10,0,0,968
reraise,4,0,0,0,1954
res,4,0,0,0,482
reservation,26,0,0,0,242
reset,84,4,0,2870,582
resize,112,4,0,0,576
resolve,18,0,0,0,558
resource,478,39,0,0,10318
resources,234,22,0,0,3146
resp,6,0,0,0,2662
response,180,18,0,0,3896
rest,62,14,6,0,1064
restart,112,22,0,2870,1170
restarted,30,0,0,0,234
restore,108,10,0,0,546
restricted,16,0,0,0,258
result,100,0,0,0,7880
results,118,2,0,0,2366
ret,0,0,0,0,510
retries,30,0,0,0,532
retrieve,36,42,0,0,318
retry,64,0,0,0,1352
retrying,14,0,0,0,874
return,244,4,0,0,10110
returned,92,4,0,0,1578
returning,40,10,0,0,334
returns,216,4,0,0,1620
revert,42,0,0,0,374
review,70,0,0,0,4694
rhel,60,4,4,0,296
right,40,2,0,2870,868
ring,46,0,0,0,484
role,266,4,0,0,2500
roles,122,0,0,0,1570
rollback,54,0,0,0,442
root,164,2,0,2870,8804
rootwrap,36,2,0,0,778
route,58,8,0,0,736
router,404,2,0,0,4266
routers,48,0,0,0,496
routes,32,0,2,0,430
routing,26,8,2,0,414
row,22,0,0,0,716
rows,18,0,0,0,270
rpc,86,22,2,0,11878
rpm,82,0,0,2870,1048
rst,42,0,0,0,612
rsync,38,0,0,0,462
ruby,22,0,0,0,6158
rule,164,12,0,0,1516
rules,136,4,0,0,1082
run,442,38,0,2870,10208
runner,20,0,0,0,416
running,314,14,0,11480,5750
runs,72,2,0,0,548
runtime,8,0,0,0,282
runtimeerror,18,0,0,0,308
rw,2,0,0,0,822
rx,2,0,0,0,374
safe,44,0,0,0,302
sahara,68,24,0,0,826
sample,44,2,0,0,546
save,42,0,0,0,644
say,6,0,0,0,284
sbin,12,0,0,0,664
scale,100,0,0,0,652
scenario,108,0,0,0,1450
scenarios,8,0,0,0,272
scheduler,76,6,0,0,1780
schema,82,2,0,0,750
scheme,18,0,0,0,254
scope,30,2,0,0,1142
screen,70,2,0,0,1156
screenshot,8,0,0,0,332
script,200,52,0,2870,1666
scripts,132,0,0,0,932
sda,4,0,0,0,378
sdb,2,0,0,0,350
search,52,0,0,0,588
searchlight,22,0,0,0,408
sec,20,0,0,0,548
second,62,10,0,0,922
seconds,14,4,0,0,1208
secret,46,0,0,0,842
secrets,12,0,0,0,260
section,110,0,0,0,1314
secure,32,0,0,0,242
security,434,30,0,0,3984
see,44,0,0,0,4354
seeing,6,0,0,0,244
seem,14,0,0,2870,312
seems,28,0,0,0,1504
seen,12,0,0,0,556
segment,46,0,0,0,612
segmentation,24,2,0,0,528
segments,20,0,0,0,312
select,42,4,0,0,1006
selected,52,0,0,0,416
self,46,4,0,0,22864
selinux,44,0,0,0,276
send,76,6,0,0,2144
sending,12,0,0,0,304
senlin,24,0,0,0,502
sense,4,0,0,0,290
sent,30,0,0,0,384
sep,2,0,0,0,682
separate,60,8,0,0,670
seq,0,0,0,0,284
serial,36,0,0,0,302
server,630,98,2,0,15604
servers,137,22,0,0,1994
service,706,102,0,5740,13656
services,270,62,6,5740,4310
session,86,0,0,0,3290
sessions,18,0,0,0,360
set,610,48,0,8610,7722
sets,38,0,0,2870,404
setting,168,16,0,0,1358
settings,264,34,0,2870,2056
setup,230,16,0,2870,3030
setuptools,18,0,0,0,234
several,76,0,0,0,748
sfc,62,0,0,0,548
sg,30,0,0,0,390
sh,324,34,0,0,4064
sha,8,0,0,0,5680
share,232,4,0,0,3688
shared,74,0,0,0,940
shares,24,0,0,0,244
shell,60,30,8,0,2134
short,30,0,0,0,342
shotgun,42,0,0,0,506
show,342,2,0,0,5200
showing,42,0,0,0,246
shown,74,2,0,0,478
shows,90,10,0,2870,876
shutdown,24,10,0,0,370
side,48,0,0,0,630
signal,30,0,0,0,458
signed,12,2,0,0,270
similar,10,0,0,0,714
simple,46,0,0,0,828
simply,0,0,0,0,330
since,28,2,0,0,2672
single,104,12,0,2870,1058
site,34,0,0,0,18748
situation,6,0,0,0,310
six,14,0,0,0,1210
size,262,8,0,0,4036
skip,28,4,0,0,366
skipping,10,0,0,0,378
slave,92,0,0,0,906
slaves,32,0,0,0,246
sleep,6,0,0,0,412
small,18,2,0,2870,392
smoke,18,0,0,0,266
snapshot,414,6,4,0,3498
snapshots,94,14,0,0,788
snat,26,0,0,0,240
sock,4,0,0,0,302
socket,30,6,0,0,754
software,44,2,0,0,342
solution,4,8,0,2870,660
something,4,2,0,0,1082
sometimes,134,2,0,0,534
sort,64,0,0,0,846
source,106,10,0,0,3576
sources,14,0,0,0,498
space,94,2,0,0,726
spawn,24,8,0,0,430
spec,94,0,0,0,1152
specific,98,34,0,0,1114
specified,114,2,0,0,1098
specify,82,18,0,0,784
specs,62,0,0,0,1032
sphinx,14,0,0,0,302
split,60,2,0,0,338
sql,28,0,0,0,872
sqlalchemy,32,2,6,0,3768
src,22,0,0,0,686
srv,8,0,0,0,1136
ssh,154,50,4,0,2208
ssl,188,14,0,0,1436
st,6,0,0,0,266
stable,254,0,0,0,1768
stack,528,52,4,0,20754
stackforge,6,0,0,0,644
stacks,52,0,0,0,476
stage,24,2,0,0,2064
standard,34,0,0,0,472
start,364,50,0,2870,4670
started,60,2,0,0,1298
starting,32,12,0,0,1264
starts,20,2,0,0,342
stat,14,0,0,0,278
state,410,20,0,2870,7294
statement,14,0,0,0,362
states,26,0,0,0,288
static,54,0,0,0,644
statistics,48,0,0,0,348
stats,100,2,0,0,572
status,456,22,0,2870,9730
stderr,12,0,0,0,1184
stdout,12,0,0,0,1314
step,68,0,0,0,1572
steps,44,2,0,0,3950
stevedore,10,0,0,0,668
still,144,4,0,0,1802
stop,144,6,0,0,1324
stopped,44,2,0,0,502
stopping,32,0,0,0,286
storage,236,44,6,2870,2988
store,108,6,0,0,2894
stored,38,12,0,0,352
str,28,0,0,0,940
strategy,24,0,0,0,238
stream,18,0,0,0,518
string,120,20,0,0,2262
sts,4,0,0,0,316
stuck,86,6,0,0,266
style,52,4,0,0,304
sub,26,0,0,0,428
subcommand,10,0,0,0,362
subnet,226,22,0,0,3098
subnets,48,0,0,0,726
subprocess,4,0,0,0,400
subunit,6,0,0,0,330
success,42,4,0,0,742
successful,54,6,0,0,628
successfully,42,2,0,0,1238
sudo,38,0,0,0,1634
suite,10,0,0,0,350
summary,18,0,0,0,370
sun,0,0,0,0,430
super,10,6,0,0,620
support,1408,0,0,0,3332
supported,136,0,0,0,972
supports,38,0,0,0,454
sure,18,0,0,0,992
svc,12,0,0,0,368
swap,40,0,0,0,376
swarm,186,0,0,0,462
swift,536,48,16,8610,6888
swiftclient,58,0,0,0,1312
switch,142,2,0,0,1218
sync,220,2,0,0,2080
syntax,56,10,0,0,462
sys,6,0,0,0,1020
syslog,44,2,0,0,324
system,200,0,0,0,3936
systemd,30,0,0,0,714
tab,152,0,0,0,966
table,224,22,0,0,2500
tables,54,0,0,0,614
tabs,26,0,0,0,256
tacker,182,0,0,0,2478
tag,54,0,0,0,800
tags,60,2,10,0,748
take,74,4,0,0,1046
takes,58,0,0,0,448
tap,8,0,0,0,250
tar,18,0,0,0,706
tarball,16,0,0,0,284
target,100,0,0,0,1584
task,512,0,0,0,6916
taskflow,6,0,0,0,326
taskmanager,22,0,0,0,294
tasks,202,0,0,0,2186
tb,8,0,0,0,1050
tcp,28,0,0,0,948
td,0,0,0,0,648
team,18,0,0,0,812
tempest,418,12,0,0,6174
template,372,66,0,2870,3642
templates,92,24,6,0,1856
tenant,298,14,0,2870,4794
tenants,40,20,0,2870,448
terminate,22,0,0,0,288
terminated,10,0,0,0,294
test,1512,28,0,0,18292
testcase,22,0,0,0,496
tested,28,0,0,0,368
testing,122,6,0,0,836
testr,20,0,0,0,348
testreport,2,0,0,0,364
tests,1350,2,0,0,8230
testtools,12,0,0,0,810
text,84,0,0,0,1176
thanks,0,0,0,0,338
therefore,0,2,0,0,408
thing,0,0,0,0,320
things,10,0,0,0,502
think,4,0,0,0,1390
though,32,0,0,0,652
thread,44,2,0,0,724
threadgroup,2,0,0,0,792
threads,32,0,0,0,296
thu,0,0,0,0,1050
thus,4,0,0,0,434
tid,0,0,0,0,710
time,326,2,0,0,5548
timed,24,0,0,0,494
timeout,252,4,0,0,3128
times,54,2,0,0,770
timestamp,36,0,0,0,866
title,18,10,0,0,554
tld,2,0,0,0,782
tls,90,0,0,0,550
tmp,24,0,0,0,3380
tmpfs,6,0,0,0,260
today,0,0,0,0,258
token,194,26,0,0,4764
tokens,46,2,0,0,752
tool,36,12,0,0,294
tools,72,2,0,0,928
top,24,4,0,0,428
topic,8,4,0,0,372
topology,96,0,0,0,666
tosca,100,0,0,0,1036
total,16,4,0,0,942
tox,150,0,0,0,3238
tpool,0,0,0,0,278
tr,0,0,0,0,492
trace,20,10,0,0,24124
traceback,56,0,0,0,5418
track,14,2,0,0,272
traffic,38,0,0,0,646
transaction,44,0,0,0,960
transfer,30,2,0,0,304
translation,46,0,0,0,272
translator,18,0,0,0,362
transport,36,0,0,0,1018
trap,2,0,0,0,902
tree,28,0,0,0,992
triager,0,0,0,0,780
tried,2,2,0,2870,642
tries,58,0,0,0,532
trigger,50,0,0,0,276
tripleo,78,8,0,0,1834
trove,214,16,0,0,2686
TRUE,124,2,0,0,7086
trunk,24,0,0,0,254
trust,26,2,0,0,346
trusty,40,0,0,0,954
try,54,22,0,0,2424
trying,86,40,0,22960,1550
ttl,22,0,0,0,400
tue,0,0,0,0,636
tun,8,0,0,0,272
tunnel,14,6,0,0,270
two,104,20,0,0,1790
tx,4,0,0,0,568
txt,42,4,0,0,1954
type,588,20,0,0,15266
typeerror,48,0,0,0,432
types,140,0,0,2870,1164
ubuntu,374,36,52,5740,8978
udp,22,0,0,0,286
uec,0,0,0,0,482
ui,522,6,0,0,1796
uid,6,0,0,0,234
unable,350,66,0,0,1222
unauthorized,10,20,0,0,248
unavailable,42,0,0,0,254
undercloud,124,8,0,0,1184
understand,4,0,0,0,246
unexpected,100,0,0,0,1054
unicode,58,0,0,0,240
unique,34,0,0,0,414
unit,376,6,0,0,2272
unittest,38,0,4,0,404
unknown,52,4,0,0,914
unless,16,0,0,0,282
untitled,0,0,0,0,324
update,1054,26,0,0,6524
updated,216,0,0,0,2872
updates,106,0,0,0,884
updating,116,6,0,0,574
upgrade,458,8,0,0,2270
upload,216,34,0,0,1956
uploaded,8,0,0,0,234
uploading,72,0,2,0,368
upstream,82,0,0,0,770
uri,32,0,0,0,952
url,284,20,0,0,6592
urllib,18,0,0,0,1002
urls,42,2,0,0,304
us,2,0,0,0,716
usage,198,16,0,0,1370
use,1016,96,0,11480,8352
used,324,2,0,0,4178
useful,18,0,0,0,534
user,734,68,2,5740,11792
username,30,2,0,0,1234
users,158,6,0,0,2510
uses,144,0,0,0,1102
using,668,228,0,5740,6490
usr,56,6,0,0,34608
utc,8,0,0,0,344
utf,6,0,0,0,776
util,18,12,0,0,1816
utils,70,0,0,0,5056
uuid,120,0,0,0,2660
vagrant,34,2,4,0,536
val,0,0,0,0,264
valid,76,42,0,0,1402
validate,148,4,0,0,910
validation,244,0,0,0,832
value,244,18,0,0,7754
valueerror,34,0,0,0,288
values,148,8,0,0,1546
var,78,2,0,0,4736
varchar,0,0,0,0,296
variable,62,18,0,2870,702
variables,62,0,0,0,458
various,18,0,0,0,274
vary,0,0,0,0,298
vcenter,102,0,0,0,566
vcpus,6,0,0,0,342
vda,2,0,0,0,310
vendor,28,0,0,0,2860
venv,22,0,0,0,3872
venvs,4,0,0,0,426
verbose,32,0,0,0,358
verification,68,2,0,0,478
verify,142,8,0,0,1702
version,530,22,0,11480,10666
versioning,24,0,0,0,410
versions,116,0,0,0,1648
via,178,50,0,2870,1882
view,62,2,0,0,1206
views,2,0,0,0,432
vif,58,6,0,0,930
vim,62,0,0,0,502
vip,114,0,0,0,1162
virt,42,0,0,0,2432
virtio,4,0,0,0,278
virtual,76,48,14,0,1032
virtualbox,40,2,10,0,264
visibility,20,2,0,0,264
vlan,126,0,0,0,1894
vm,386,124,0,2870,4684
vms,110,18,0,0,864
vmware,196,8,2,0,3226
vmwareapi,0,0,0,0,370
vnc,22,0,0,0,242
vnf,160,0,0,0,710
vnfd,60,0,0,0,326
vnic,22,0,0,0,344
vol,18,0,0,0,696
volume,1162,72,4,5740,12810
volumes,186,8,6,0,2418
vpn,36,0,0,0,274
vrouter,12,0,0,0,268
vxlan,44,0,0,0,776
wait,64,6,0,0,2184
waiting,32,4,0,0,676
want,8,8,0,11480,1078
warn,50,0,0,0,382
warning,106,2,0,0,3386
warnings,48,0,0,0,298
way,122,20,0,0,1948
web,132,10,6,0,1436
webob,12,0,0,0,700
wed,0,0,0,0,894
weight,8,0,0,0,262
well,52,2,0,0,1010
wf,14,0,0,0,372
whether,12,4,0,0,546
whole,20,0,0,0,356
width,6,2,0,0,268
wiki,20,0,0,0,472
windows,46,2,0,0,272
within,38,4,0,0,726
without,276,20,0,0,1914
work,642,22,0,0,2540
workaround,4,0,0,0,1056
worker,20,0,0,0,498
workers,36,0,0,0,344
workflow,66,6,0,0,694
working,216,60,0,2870,902
works,78,4,0,2870,1176
workspace,0,0,0,0,2672
would,30,6,0,2870,3840
wrap,6,0,0,0,306
wrapped,8,0,0,0,1030
wrapper,16,0,0,0,1688
write,100,8,0,0,1124
writing,12,2,0,0,438
written,10,2,0,0,282
wrong,580,2,0,0,1278
wsgi,56,0,0,0,4008
www,8,0,0,0,642
xenial,88,2,0,0,838
xfs,10,0,0,0,378
xml,22,2,0,0,938
xtrace,0,0,0,0,268
xx,6,0,0,0,406
xxx,10,0,0,0,444
yaml,238,0,2,0,3402
yaql,18,0,0,0,350
yes,10,0,0,0,622
yet,18,0,0,0,564
yml,32,0,0,0,632
yum,32,0,0,0,602
zaqar,46,0,0,0,1078
zero,24,0,0,0,438
zone,92,2,0,0,1462
zones,28,6,0,0,244
zun,30,0,0,0,256
